key,group,title,description,active,has_outrights
americanfootball_ncaaf,American Football,NCAAF,US College Football,False,False
americanfootball_nfl,American Football,NFL,US Football,False,False
americanfootball_nfl_super_bowl_winner,American Football,NFL Super Bowl Winner,Super Bowl Winner 2022/2023,True,True
aussierules_afl,Aussie Rules,AFL,Aussie Football,True,False
baseball_mlb,Baseball,MLB,Major League Baseball,False,False
baseball_mlb_world_series_winner,Baseball,MLB World Series Winner,World Series Winner 2022,True,True
basketball_euroleague,Basketball,Basketball Euroleague,Basketball Euroleague,True,False
basketball_nba,Basketball,NBA,US Basketball,True,False
basketball_nba_championship_winner,Basketball,NBA Championship Winner,Championship Winner 2021/2022,True,True
basketball_ncaab,Basketball,NCAAB,US College Basketball,True,False
cricket_big_bash,Cricket,Big Bash,Big Bash League,False,False
cricket_icc_world_cup,Cricket,ICC World Cup,ICC World Cup,False,False
cricket_ipl,Cricket,IPL,Indian Premier League,True,False
cricket_odi,Cricket,One Day Internationals,One Day Internationals,True,False
cricket_test_match,Cricket,Test Matches,International Test Matches,True,False
golf_masters_tournament_winner,Golf,Masters Tournament Winner,2022 Winner,True,True
golf_pga_championship_winner,Golf,PGA Championship Winner,2022 Winner,True,True
golf_the_open_championship_winner,Golf,The Open Winner,2022 Winner,True,True
golf_us_open_winner,Golf,US Open Winner,2022 Winner,True,True
icehockey_nhl,Ice Hockey,NHL,US Ice Hockey,True,False
icehockey_nhl_championship_winner,Ice Hockey,NHL Championship Winner,Stanley Cup Winner 2021/2022,True,True
icehockey_sweden_allsvenskan,Ice Hockey,HockeyAllsvenskan,Swedish Hockey Allsvenskan,True,False
icehockey_sweden_hockey_league,Ice Hockey,SHL,Swedish Hockey League,True,False
mma_mixed_martial_arts,Mixed Martial Arts,MMA,Mixed Martial Arts,True,False
politics_us_presidential_election_winner,Politics,US Presidential Elections Winner,2024 US Presidential Election Winner,False,True
rugbyleague_nrl,Rugby League,NRL,Aussie Rugby League,True,False
soccer_africa_cup_of_nations,Soccer,Africa Cup of Nations,Africa Cup of Nations,False,False
soccer_argentina_primera_division,Soccer,Primera División - Argentina,Argentine Primera División,True,False
soccer_australia_aleague,Soccer,A-League,Aussie Soccer,True,False
soccer_belgium_first_div,Soccer,Belgium First Div,Belgian First Division A,True,False
soccer_brazil_campeonato,Soccer,Brazil Série A,Brasileirão Série A,True,False
soccer_china_superleague,Soccer,Super League - China,,False,False
soccer_denmark_superliga,Soccer,Denmark Superliga,,True,False
soccer_efl_champ,Soccer,Championship,EFL Championship,True,False
soccer_england_efl_cup,Soccer,EFL Cup,League Cup,False,False
soccer_england_league1,Soccer,League 1,EFL League 1,True,False
soccer_england_league2,Soccer,League 2,EFL League 2 ,True,False
soccer_epl,Soccer,EPL,English Premier League,True,False
soccer_fa_cup,Soccer,FA Cup,Football Association Challenge Cup,True,False
soccer_fifa_world_cup,Soccer,FIFA World Cup,,False,False
soccer_finland_veikkausliiga,Soccer,Veikkausliiga - Finland,,False,False
soccer_france_ligue_one,Soccer,Ligue 1 - France,,True,False
soccer_france_ligue_two,Soccer,Ligue 2 - France,French Soccer,True,False
soccer_germany_bundesliga,Soccer,Bundesliga - Germany,German Soccer,True,False
soccer_germany_bundesliga2,Soccer,Bundesliga 2 - Germany,German Soccer,True,False
soccer_italy_serie_a,Soccer,Serie A - Italy,Italian Soccer,True,False
soccer_italy_serie_b,Soccer,Serie B - Italy,Italian Soccer,True,False
soccer_japan_j_league,Soccer,J League,Japan Soccer League,True,False
soccer_korea_kleague1,Soccer,K League 1,Korean Soccer,True,False
soccer_league_of_ireland,Soccer,League of Ireland,Airtricity League Premier Division,True,False
soccer_mexico_ligamx,Soccer,Liga MX,Mexican Soccer,True,False
soccer_netherlands_eredivisie,Soccer,Dutch Eredivisie,Dutch Soccer,True,False
soccer_norway_eliteserien,Soccer,Eliteserien - Norway,Norwegian Soccer,True,False
soccer_portugal_primeira_liga,Soccer,Primeira Liga - Portugal,Portugese Soccer,True,False
soccer_russia_premier_league,Soccer,Premier League - Russia,Russian Soccer,False,False
soccer_spain_la_liga,Soccer,La Liga - Spain,Spanish Soccer,True,False
soccer_spain_segunda_division,Soccer,La Liga 2 - Spain,Spanish Soccer,True,False
soccer_spl,Soccer,Premiership - Scotland,Scottish Premiership,True,False
soccer_sweden_allsvenskan,Soccer,Allsvenskan - Sweden,Swedish Soccer,True,False
soccer_sweden_superettan,Soccer,Superettan - Sweden,Swedish Soccer,True,False
soccer_switzerland_superleague,Soccer,Swiss Superleague,Swiss Soccer,True,False
soccer_turkey_super_league,Soccer,Turkey Super League,Turkish Soccer,True,False
soccer_uefa_champs_league,Soccer,UEFA Champions,European Champions League,True,False
soccer_uefa_europa_league,Soccer,UEFA Europa,European Europa League,True,False
soccer_uefa_european_championship,Soccer,UEFA Euro 2020,UEFA European Championship,False,False
soccer_usa_mls,Soccer,MLS,Major League Soccer,True,False
tennis_atp_aus_open_singles,Tennis,ATP Australian Open,Men's Singles,False,False
tennis_atp_french_open,Tennis,ATP French Open,Men's Singles,False,False
tennis_atp_us_open,Tennis,ATP US Open,Men's Singles,False,False
tennis_atp_wimbledon,Tennis,ATP Wimbledon,Men's Singles,False,False
tennis_wta_aus_open_singles,Tennis,WTA Australian Open,Women's Singles,False,False
tennis_wta_french_open,Tennis,WTA French Open,Women's Singles,False,False
tennis_wta_us_open,Tennis,WTA US Open,Women's Singles,False,False
tennis_wta_wimbledon,Tennis,WTA Wimbledon,Women's Singles,False,False
